id,name,category_name,current_discount,current_probability,optimal_discount,optimal_probability,improvement,recommend_change
48629535,Sách Ngày Xưa Có Một Chuyện Tình (Tái Bản),Sách tiếng Việt,21,0.39632588000068814,21,0.39632588000068814,0.0,False
14643411,Sách Điều Kỳ Diệu (Tái Bản),Sách tiếng Việt,18,0.49919960070150665,45,0.6785486135526503,0.17934901285114363,True
10866305,Sách Tư Duy Pháp Lý Của Luật Sư (Tái Bản),Sách tiếng Việt,21,0.41179935417812735,21,0.41179935417812735,0.0,False
10866303,Sách Agatha Christie - Vụ Ám Sát Ông Roger Ackroyd (Tái Bản),Sách tiếng Việt,17,0.2733103672492848,45,0.6755888800085674,0.4022785127592826,True
10738198,Combo Danh Nhân Thế Giới (10 cuốn) - Tái Bản,Sách tiếng Việt,25,0.5123506938093635,45,0.6270518236382849,0.11470112982892144,True
7982628,Sách Suối Nguồn (Tái Bản),Sách tiếng Việt,18,0.5843632384325399,18,0.5843632384325399,0.0,False
3954355,Sách Yêu Những Điều Không Hoàn Hảo,Sách tiếng Việt,23,0.38856987387977476,20,0.4453782749295672,0.056808401049792456,True
279308786,Sách Người Trong Mộng Của Nam Chính Phải Lòng Tôi (Tập 1),Sách tiếng Việt,0,0.4190093807584451,0,0.4190093807584451,0.0,False
278948458,Sách Vòng Lặp Thứ 7 Của Tiểu Thư Phản Diện - Cuộc Sống Hôn Nhân Tự Tại Giữa Lòng Địch Quốc (Chọn Tập Lẻ),Sách tiếng Việt,10,0.03249050003840101,45,0.395965426810183,0.36347492677178195,True
278841848,Doraemon Movie Story Màu: Nobita Và Những Hiệp Sĩ Không Gian,Sách tiếng Việt,2,0.012019607843137254,2,0.012019607843137254,0.0,False
278810625,Sách Lịch Sử Thế Giới Vô Hình,Sách tiếng Việt,23,0.21249477138904335,0,0.4079354381224747,0.19544066673343133,True
278668649,Sách Sống Đời Giản Dị,Sách tiếng Việt,20,0.3520032544121123,45,0.4643362600502605,0.11233300563814824,True
278572380,Perman - Cậu Bé Siêu Nhân,Sách tiếng Việt,5,0.002352941176470588,5,0.002352941176470588,0.0,False
278492655,Sách Kính Vạn Hoa - Bộ 9 Tập,Sách tiếng Việt,28,0.3347443738557175,25,0.44044028574394284,0.10569591188822536,True
278159678,Truyện tranh tâm lý học đường - Học cách làm chủ cảm xúc (Sách bản quyền),Sách tiếng Việt,30,0.0011111111111111111,30,0.0011111111111111111,0.0,False
278035545,Sách Tư Duy Đầu Tư - Tiền Đẻ Ra Tiền,Sách tiếng Việt,35,0.35719123911132217,45,0.49226177184561787,0.1350705327342957,True
