id,name,feature_name,feature_name_original,shap_value,feature_value,shap_value_percent
401543,Sách Collins Classics: Pride And Prejudice,Thể loại: Sách nước ngoài,cat_Sách nước ngoài,0.11255976180837633,True,15.2301888896984
401543,Sách Collins Classics: Pride And Prejudice,Có đánh giá,has_rating,0.10754222664673897,1,14.551278353244568
401543,Sách Collins Classics: Pride And Prejudice,Giá bán,price,0.09332682410196953,63000,12.627826647043229
401543,Sách Collins Classics: Pride And Prejudice,Thể loại: Sách tiếng Việt,cat_Sách tiếng Việt,0.08782227079142269,False,11.883018863816341
401543,Sách Collins Classics: Pride And Prejudice,Mức giảm giá,discount_rate,-0.05124379686919404,3,6.933674105243903
401543,Sách Collins Classics: Pride And Prejudice,"Thể loại: Truyện tranh, Manga","cat_Truyện tranh, Manga",0.039061121339746645,False,5.285265770733884
401543,Sách Collins Classics: Pride And Prejudice,Thể loại: Sách giáo khoa,cat_Sách giáo khoa,-0.011866392129257355,False,1.6056127932777018
405634,Sách Collins - Listening for IELTS (Quét Mã QR Để Nghe File Mp3),Điểm đánh giá,rating_average,0.1397275528157752,4.7,33.55605901896846
405634,Sách Collins - Listening for IELTS (Quét Mã QR Để Nghe File Mp3),Thể loại: Sách tiếng Việt,cat_Sách tiếng Việt,-0.09190769858973213,True,22.07195428550028
405634,Sách Collins - Listening for IELTS (Quét Mã QR Để Nghe File Mp3),Có đánh giá,has_rating,0.06697947209623777,1,16.085353771879387
405634,Sách Collins - Listening for IELTS (Quét Mã QR Để Nghe File Mp3),Mức giảm giá,discount_rate,0.03553213679061716,19,8.533166545813845
405634,Sách Collins - Listening for IELTS (Quét Mã QR Để Nghe File Mp3),Thể loại: Sách nước ngoài,cat_Sách nước ngoài,-0.03409703422274574,False,8.188521660139372
405634,Sách Collins - Listening for IELTS (Quét Mã QR Để Nghe File Mp3),Thể loại: Sách giáo khoa,cat_Sách giáo khoa,-0.026836488642112,False,6.444876322452259
405634,Sách Collins - Listening for IELTS (Quét Mã QR Để Nghe File Mp3),Giá bán,price,0.013249917343200869,117000,3.1820138505618
405634,Sách Collins - Listening for IELTS (Quét Mã QR Để Nghe File Mp3),"Thể loại: Truyện tranh, Manga","cat_Truyện tranh, Manga",-0.008070066231531899,False,1.938054544684587
408804,Sách Oxford Learner's Pocket Phrasal Verbs and Idioms,Điểm đánh giá,rating_average,0.241743098308871,4.8,37.92113441600357
408804,Sách Oxford Learner's Pocket Phrasal Verbs and Idioms,Có đánh giá,has_rating,0.11074341264376682,1,17.371812746379135
408804,Sách Oxford Learner's Pocket Phrasal Verbs and Idioms,Thể loại: Sách nước ngoài,cat_Sách nước ngoài,0.10490656551044533,True,16.456213226654498
408804,Sách Oxford Learner's Pocket Phrasal Verbs and Idioms,Thể loại: Sách tiếng Việt,cat_Sách tiếng Việt,0.08828274477077062,False,13.848510482763507
408804,Sách Oxford Learner's Pocket Phrasal Verbs and Idioms,Mức giảm giá,discount_rate,0.048232739044039394,10,7.566049220582538
408804,Sách Oxford Learner's Pocket Phrasal Verbs and Idioms,"Thể loại: Truyện tranh, Manga","cat_Truyện tranh, Manga",0.020301091056810685,False,3.1845393235311064
408804,Sách Oxford Learner's Pocket Phrasal Verbs and Idioms,Giá bán,price,0.01907471780341986,273200,2.992163759093665
